,Station,Air Quality,Longitude,Latitude,O3 Hour,O3 Quality,O3 Value,NO2 Hour,NO2 Quality,NO2 Value,PM10 Hour,PM10 Quality,PM10 Value,Generated,Date Time
154,Barcelona - Gràcia,Good,2.1534,41.3987,18h,Good,49.0,18h,Good,28.0,,Good,0.0,01/11/2018 19:00,1541095503
155,Barcelona - Ciutadella,Good,2.1874,41.3864,18h,Good,46.0,18h,Good,16.0,,Good,0.0,01/11/2018 19:00,1541095503
156,Barcelona - Vall Hebron,Good,2.148,41.4261,18h,Good,18.0,18h,Good,58.0,,Good,0.0,01/11/2018 19:00,1541095503
157,Barcelona - Palau Reial,Good,2.1151,41.3875,18h,Good,30.0,18h,Good,23.0,19h,Good,9.0,01/11/2018 19:00,1541095503
158,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,18h,Good,19.0,19h,Good,7.0,01/11/2018 19:00,1541095503
159,Barcelona - Observ Fabra,Good,2.1239,41.4183,18h,Good,57.0,18h,Good,20.0,19h,Good,6.0,01/11/2018 19:00,1541095503
160,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,19h,Good,35.0,,Good,0.0,01/11/2018 20:00,1541099103
161,Barcelona - Eixample,Good,2.1538,41.3853,18h,--,0.0,18h,--,0.0,20h,Good,13.0,01/11/2018 20:00,1541099103
162,Barcelona - Gràcia,Good,2.1534,41.3987,19h,Good,38.0,19h,Good,37.0,,Good,0.0,01/11/2018 20:00,1541099103
163,Barcelona - Ciutadella,Good,2.1874,41.3864,19h,Good,38.0,19h,Good,23.0,,Good,0.0,01/11/2018 20:00,1541099103
164,Barcelona - Vall Hebron,Good,2.148,41.4261,19h,Good,2.0,19h,Good,72.0,,Good,0.0,01/11/2018 20:00,1541099103
165,Barcelona - Palau Reial,Good,2.1151,41.3875,19h,Good,15.0,19h,Good,40.0,19h,Good,9.0,01/11/2018 20:00,1541099103
166,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,19h,Good,33.0,19h,Good,8.0,01/11/2018 20:00,1541099103
167,Barcelona - Observ Fabra,Good,2.1239,41.4183,19h,Good,65.0,19h,Good,15.0,19h,Good,6.0,01/11/2018 20:00,1541099103
168,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,20h,Good,66.0,,Good,0.0,01/11/2018 21:00,1541102702
169,Barcelona - Eixample,Good,2.1538,41.3853,19h,--,0.0,19h,--,0.0,21h,Good,12.0,01/11/2018 21:00,1541102702
170,Barcelona - Gràcia,Good,2.1534,41.3987,20h,Good,8.0,20h,Good,67.0,,Good,0.0,01/11/2018 21:00,1541102702
171,Barcelona - Ciutadella,Good,2.1874,41.3864,20h,Good,34.0,20h,Good,31.0,,Good,0.0,01/11/2018 21:00,1541102702
172,Barcelona - Vall Hebron,Good,2.148,41.4261,20h,Good,2.0,20h,Good,73.0,,Good,0.0,01/11/2018 21:00,1541102702
173,Barcelona - Palau Reial,Good,2.1151,41.3875,20h,Good,23.0,20h,Good,31.0,21h,Good,8.0,01/11/2018 21:00,1541102702
174,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,20h,Good,56.0,21h,Good,7.0,01/11/2018 21:00,1541102702
175,Barcelona - Observ Fabra,Good,2.1239,41.4183,20h,Good,69.0,20h,Good,13.0,21h,Good,6.0,01/11/2018 21:00,1541102702
176,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,21h,Good,73.0,,Good,0.0,01/11/2018 22:00,1541106303
177,Barcelona - Eixample,Good,2.1538,41.3853,19h,--,0.0,19h,--,0.0,21h,Good,12.0,01/11/2018 22:00,1541106303
178,Barcelona - Gràcia,Good,2.1534,41.3987,21h,Good,5.0,21h,Good,70.0,,Good,0.0,01/11/2018 22:00,1541106303
179,Barcelona - Ciutadella,Good,2.1874,41.3864,21h,Good,3.0,21h,Good,69.0,,Good,0.0,01/11/2018 22:00,1541106303
180,Barcelona - Vall Hebron,Good,2.148,41.4261,21h,Good,7.0,21h,Good,66.0,,Good,0.0,01/11/2018 22:00,1541106303
181,Barcelona - Palau Reial,Good,2.1151,41.3875,21h,Good,18.0,21h,Good,38.0,22h,Good,9.0,01/11/2018 22:00,1541106303
182,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,21h,Good,73.0,22h,Good,7.0,01/11/2018 22:00,1541106303
183,Barcelona - Observ Fabra,Good,2.1239,41.4183,21h,Good,77.0,21h,Good,4.0,22h,Good,6.0,01/11/2018 22:00,1541106303
184,Barcelona - Sants,--,2.1331,41.3788,,Good,0.0,,Good,0.0,,Good,0.0,01/11/2018 23:00,1541109903
185,Barcelona - Eixample,Good,2.1538,41.3853,,Good,0.0,,Good,0.0,23h,Good,13.0,01/11/2018 23:00,1541109903
186,Barcelona - Gràcia,--,2.1534,41.3987,,Good,0.0,,Good,0.0,,Good,0.0,01/11/2018 23:00,1541109903
187,Barcelona - Ciutadella,--,2.1874,41.3864,,Good,0.0,,Good,0.0,,Good,0.0,01/11/2018 23:00,1541109903
